CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
MIA025,叭叭房廣停二停車場,40,1,0,0,40,4
MIA012,大同國小地下停車場,589,1,0,0,589,3
MIA016,尚順育樂世界停車場,1000,5,0,0,35,2
MIA022,叭叭房光華停車場,7,1,0,0,7,4
MIA008,苗栗市停十五停車場,91,1,0,0,91,4
MIA021,台鐵苗栗東站停車場,315,27,0,0,315,3
MIA027,叭叭房民生停車場,169,1,0,0,169,4
MIA017,富山中山路停車場,45,1,0,0,45,2
MIA004,苗栗市停四停車場,76,1,0,0,76,4
MIA024,叭叭房廣停三停車場,50,1,0,0,50,4
MIA020,台鐵豐富站停車場,150,2,0,0,108,4
MIA006,苗栗市停八停車場,42,1,0,0,42,4
MIA014,後龍停一立體停車場,39,1,0,0,39,3
MIA026,叭叭房廣停六停車場,19,1,0,0,19,4
MIA023,叭叭房銀河停車場,133,1,1,0,133,4
MIA010,南庄遊客中心停車場,92,27,0,0,92,2
MIA029,叭叭房文林停車場,21,0,0,0,21,4
MIA028,叭叭房廣停十五停車場,26,1,0,0,26,4
MIA018,苗栗台鐵高架橋下停車場,135,1,0,0,135,2
MIA011,竹南國中地下停車場,205,0,0,0,204,4
NAN_003,埔里鎮仁愛立體停車場,230,1,0,0,230,4
tsa004,草屯鎮公有零售市場地下停車場(市一停車場),43,1,0,0,18,4
jiji001,集集鎮公所集集國小地下停車場,326,1,0,0,326,2
NAN_010,南投縣瑞龍瀑布地區停車場,25,1,0,0,25,254
exfop01,第一停車場,800,1,0,0,610,2
exfop02,第二停車場,93,1,0,0,61,2
cmh923,中山停車場,218,1,0,0,218,4
NAN_009,竹山鎮梯子吊橋公有停車場,11,1,0,0,11,255
NAN_008,東埔停車場,71,5,0,0,25,254
tsa002,草屯鎮中正路臨時停車場,88,1,0,0,88,2
NAN_002,草屯鎮公有草鞋墩多目標使用立體停車場,426,9,0,0,12,4
tsa003,草鞋墩停二立體停車場,409,1,0,0,409,4
NAN_005,南投縣政府地下停車場,370,1,0,0,370,4
NAN_004,婦幼館附設停車場,57,1,0,0,57,4
tsa001,草屯鎮大成街停車場,180,1,0,0,180,2
PT0009,屏菸1936文化基地立體停車場,323,1,0,0,323,4
PT0005,機場北路路外停車場,67,1,0,0,67,4
PT0007,幸福公園停車場,276,1,0,0,276,4
PT0013,恆春立體停車場,231,2,0,0,249,4
PT0012,東港中山路立體停車場,258,1,0,0,258,4
PT0010,民生路立體停車場,622,1,0,0,622,4
PT0011,仁愛路地下立體停車場,341,1,0,0,341,4
PT0015,自由延平停車場,76,0,0,0,76,255
PT0003,勝利星村路外停車場,120,1,0,0,120,4
PT0002,中華立體停車場,286,10,0,0,5,4
PT0008,信義路立體停車場,225,1,0,0,225,4
PT0014,東港鎮中山路平面式路外停車場,62,1,0,0,62,4
PT0016,東港漁港停車場,147,0,0,0,147,1
PT0001,縣府立體停車場,206,1,0,0,206,4
PT0004,自由路外停車場,78,1,0,0,78,4
PT0017,潮州車站停車場,63,1,0,0,63,4
PT0006,和平路路外停車場,98,1,0,0,98,4
PT0018,屏東榮民總醫院東側路外停車場,129,7,0,0,4,4
02P0C0001A,東區-公有-(停37)忠孝P,42,1,0,0,42,4
04P0C0006A,西區-公有-光明P,18,1,0,0,18,4
07P0C0018B,南屯區-公有-正心立體停車場,264,9,0,0,6,4
