CarParkID,CarParkName_Zh_tw,HasInvoice,InvoiceType_DuplicateUniform,InvoiceType_TriplicateUniform,InvoiceSupport_BANPrinted,InvoiceSupport_Donation,HasEInvoice,HasEInvoiceCarrier,EInvoiceCarrierType_Generic,EInvoiceCarrierType_SmartCard,EInvoiceCarrierType_CreditCard,EInvoiceCarrierType_DebitCard,EInvoiceCarrierType_MemberCard,EInvoiceCarrierType_DonationCode,PaymentProcess_PayAndDisplay,PaymentProcess_PayByPrepaidToken,PaymentProcess_PayAtExitBoothManualCollection,PaymentProcess_PayAtMachineOnFootPriorToExit,PaymentProcess_PayBySmartCard,PaymentProcess_PayByMobile,PaymentProcess_PayByEtag,PaymentProcess_Others,PaymentMethod_Cash,PaymentMethod_CreditCard,PaymentMethod_SmartCard,PaymentMethod_ETC,PaymentMethod_MobilePayment,PaymentMethod_Token,PaymentMethod_Others,SmartCard_EasyCard,SmartCard_IPASS,SmartCard_ICash,SmartCard_HappyCash,PaymentDescription,HasTicketingMachine,TicketingMachine_DisabledFriendly,HasTicketingValidator,TicketingValidatorType_Contactless,TicketingValidatorType_Magnetic,TicketingValidatorType_NFC,TicketingValidatorType_RFID,TicketingValidatorType_Others
P11,嘉義長庚醫院停車場（東北側）,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,0,1,1,1,1,1,1
P11,嘉義長庚醫院停車場（東北側）,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,0,0,0,1,0,0,0
0001CYHG,朴子醫院停車場,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金收費,0,0,0,0,0,0,0,1
P22,佛教大林慈濟醫院停車場,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,1,1,1,1,1,1,1
P22,佛教大林慈濟醫院停車場,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,1,1,0,0,0,0,1
P01,強展嘉大民雄校區停車場,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,現金,1,1,1,0,0,0,0,1
LJ03,六腳鄉公所公有停車場,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
LJ03,六腳鄉公所公有停車場,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
P10,嘉義長庚醫院停車場（綜合醫學大樓）,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,0,0,0,1,0,0,0
P07,布袋港第二停車場,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,0,1,0,1,0,0,0
MS0002,雲梯接駁停車場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
P04,五都停車場高鐵嘉義二站,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,1,1,1,1,1,1,1
STO001,機一停車場,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,免費,1,1,1,1,1,1,1,1
STO001,機一停車場,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,免費,1,1,1,1,1,1,1,1
DS01,東石鄉港口宮停車場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,免費,1,1,1,1,1,1,1,1
P17,好庭車停車場,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,1,1,1,1,1,1,1
DL02,大林後火車站公有免費停車場(停二),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
DL02,大林後火車站公有免費停車場(停二),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
DL02,大林後火車站公有免費停車場(停二),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
Cyhg01,公有免費停車場（仁和二路、小槺榔三路）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,免費,0,1,0,0,0,0,0,0
P09,嘉義長庚醫院停車場（醫學大樓）,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,0,0,0,1,0,0,0
P19,嘟嘟房新港奉天宮站停車場,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,行動支付、電子票證等,1,0,1,1,0,0,0,0
P06,布袋港旅客服務中心停車場,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,1,0,1,1,1,0,0,0
P20,樟腦寮月香停車場,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金,0,0,0,0,0,0,0,0
Cyhg07,朴子配天宮公有停車場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
P13,嘟嘟房嘉義大同站,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,現金、行動支付,1,1,1,1,1,1,1,1
BD01,公有免費停車場（岑海里舊派出所旁停車場）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,0,0,0,0,0,0
CYHG02,創新地下停車場,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,現金付款,1,1,1,1,1,1,1,1
DL03,大林體育運動公園前公有免費停車場(停三),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,免費,0,0,1,1,1,1,1,1
